G,DATE,LOCATION,OPP,OUTCOME,SCORE,OPP_SCORE,POINT_DIFF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,OPP_TRB,REB_DIFF,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
1,11/25/20,Neutral,South Dakota,Win,84,61,23,30,73,0.411,10,25,0.4,14,15,0.933,14,41,39,2,20,4,5,8,22,20,60,0.333,3,20,0.15,18,24,0.75,12,9,2,7,13,16
2,11/27/20,Away,Kansas State,Win,76,58,18,26,53,0.491,6,21,0.286,18,21,0.857,5,24,23,1,13,6,1,8,13,21,47,0.447,10,26,0.385,6,10,0.6,3,14,3,2,16,21
3,12/8/20,Away,Tennessee,Loss,47,56,-9,16,48,0.333,5,22,0.227,10,12,0.833,8,34,30,4,10,5,0,22,17,19,53,0.358,7,19,0.368,11,15,0.733,11,12,12,1,15,15
4,12/14/20,Home,Northern Colorado,Win,81,45,36,32,60,0.533,6,13,0.462,11,15,0.733,7,35,26,9,16,10,8,13,13,15,52,0.288,6,18,0.333,9,12,0.75,7,6,3,2,21,18
5,12/16/20,Home,Omaha,Win,91,49,42,31,62,0.5,11,26,0.423,18,22,0.818,8,42,29,13,18,4,2,9,15,19,61,0.311,5,17,0.294,6,9,0.667,6,14,3,1,13,22
6,12/20/20,Neutral,Washington,Win,92,69,23,29,60,0.483,8,20,0.4,26,28,0.929,9,37,22,15,21,2,2,7,19,27,63,0.429,4,18,0.222,11,16,0.688,6,10,7,3,9,20
7,12/22/20,Neutral,Grand Canyon,Win,74,64,10,24,48,0.5,8,17,0.471,18,21,0.857,3,19,27,-8,10,7,2,6,15,27,53,0.509,5,20,0.25,5,8,0.625,6,15,2,1,15,17
8,12/28/20,Away,Arizona,Loss,74,88,-14,24,55,0.436,12,26,0.462,14,17,0.824,8,28,29,-1,14,5,2,13,22,30,57,0.526,8,17,0.471,20,27,0.741,8,20,4,2,8,17
9,12/31/20,Away,USC,Win,72,62,10,25,60,0.417,8,22,0.364,14,16,0.875,9,35,32,3,12,6,2,11,16,23,60,0.383,9,24,0.375,7,10,0.7,10,13,7,3,15,16
10,1/2/21,Away,UCLA,Loss,62,65,-3,23,53,0.434,6,23,0.261,10,13,0.769,7,26,30,-4,9,5,1,11,14,25,53,0.472,3,15,0.2,12,14,0.857,9,13,4,1,12,13
11,1/7/21,Home,Oregon,Win,79,72,7,29,63,0.46,7,27,0.259,14,15,0.933,12,38,25,13,12,5,4,13,17,29,61,0.475,7,19,0.368,7,10,0.7,7,11,6,2,14,16
12,1/11/21,Away,Utah,Win,65,58,7,21,60,0.35,5,19,0.263,18,24,0.75,13,47,30,17,11,2,4,9,14,26,58,0.448,4,19,0.211,2,11,0.182,4,13,5,4,9,21
13,1/14/21,Home,California,Win,89,60,29,33,60,0.55,12,21,0.571,11,14,0.786,4,27,25,2,18,6,0,7,17,21,49,0.429,7,19,0.368,11,17,0.647,3,11,3,6,14,14
14,1/16/21,Home,Stanford,Win,77,64,13,28,68,0.412,9,27,0.333,12,13,0.923,11,38,31,7,16,6,5,9,13,22,60,0.367,5,18,0.278,15,15,1,8,7,5,4,14,13
15,1/20/21,Away,Washington,Loss,80,84,-4,32,69,0.464,1,18,0.056,15,19,0.789,13,32,27,5,12,5,6,5,19,28,57,0.491,12,25,0.48,16,18,0.889,8,9,1,5,10,16
